1	Dallas, 23.4
2	Buffalo, 22.7
3	Detroit, 22.6
4	San Francisco, 22.4
5	Philadelphia, 21.7
6	Kansas City, 21.0
7	Baltimore, 20.9
8	LA Rams, 20.7
8	Miami, 20.7
10	Green Bay, 20.0
10	Minnesota, 20.0
12	New Orleans, 19.8
13	Jacksonville, 19.8
14	Arizona, 19.4
15	Cincinnati, 19.4
16	Atlanta, 19.2
17	Indianapolis, 19.1
18	Cleveland, 19.1
19	Chicago, 18.9
20	Washington, 18.9
21	LA Chargers, 18.8
22	Seattle, 18.6
23	Houston, 18.6
24	Tampa Bay, 18.2
25	Denver, 17.7
26	Tennessee, 17.5
27	Carolina, 17.5
28	Las Vegas, 17.2
29	Pittsburgh, 17.2
30	NY Giants, 15.7
31	New England, 15.4
32	NY Jets, 15.3
